"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
80548,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 138","VITEK 2","CLSI","BV BRC","SRR3057135","Escherichia coli",">=32",32,"R"
80549,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_20","","CLSI","BV BRC","GCA_004568225.1","Escherichia coli",">=32",32,"R"
80552,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_72","","CLSI","BV BRC","GCA_004566685.1","Escherichia coli",">=32",32,"R"
80595,"ampicillin","==","128","R","mg/L","Escherichia coli strain 15051805","","EUCAST","BV BRC","ERR2209744","Escherichia coli","==128",128,"R"
80649,"ampicillin",">=","32","R","mg/L","Escherichia coli strain M33","VITEK 2","CLSI","BV BRC","SRR3345831","Escherichia coli",">=32",32,"R"
80654,"ampicillin",">=","32","R","mg/L","Escherichia coli strain M21","VITEK 2","CLSI","BV BRC","SRR2927303","Escherichia coli",">=32",32,"R"
80818,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_2","","CLSI","BV BRC","GCA_004567805.1","Escherichia coli",">=32",32,"R"
80882,"ampicillin",">=","32","R","mg/L","Escherichia coli strain USDA-ARS-USMARC-51408 strain not applicable","Sensititre","CLSI","BV BRC","GCA_025200555.1","Escherichia coli",">=32",32,"R"
80892,"ampicillin","==","4","S","mg/L","Escherichia coli strain AR_0378","","CLSI","BV BRC","GCA_003075555.1","Escherichia coli","==4",4,"S"
80952,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_4","","CLSI","BV BRC","GCA_004567665.1","Escherichia coli",">=32",32,"R"
80976,"ampicillin",">","32","R","mg/L","Escherichia coli strain AR_0450","","CLSI","BV BRC","GCA_003324445.1","Escherichia coli",">32",64,"R"
81008,"ampicillin","==","2","S","mg/L","Escherichia coli O157 strain AR-0428","","CLSI","BV BRC","GCA_008727175.1","Escherichia coli","==2",2,"S"
81036,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_49","","CLSI","BV BRC","GCA_004567565.1","Escherichia coli",">=32",32,"R"
81080,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_93","","CLSI","BV BRC","GCA_004567345.1","Escherichia coli",">=32",32,"R"
81209,"ampicillin","==","128","R","mg/L","Escherichia coli strain 15056874","","EUCAST","BV BRC","ERR2209391","Escherichia coli","==128",128,"R"
81295,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_138","","CLSI","BV BRC","SRR4017857","Escherichia coli",">32",64,"R"
81381,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 344","VITEK 2","CLSI","BV BRC","SRR5341981","Escherichia coli",">=32",32,"R"
81432,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 60","VITEK 2","CLSI","BV BRC","SRR2134675","Escherichia coli",">=32",32,"R"
81470,"ampicillin","==","128","R","mg/L","Escherichia coli strain 14073256","","EUCAST","BV BRC","ERR2209708","Escherichia coli","==128",128,"R"
81483,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 172","VITEK 2","CLSI","BV BRC","SRR3168643","Escherichia coli",">=32",32,"R"
81497,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_17","","CLSI","BV BRC","GCA_004568145.1","Escherichia coli",">=32",32,"R"
81597,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_174","","CLSI","BV BRC","SRR4065675","Escherichia coli",">32",64,"R"
81671,"ampicillin",">","32","R","mg/L","Escherichia coli O157 strain AR-0427","","CLSI","BV BRC","GCA_008727195.1","Escherichia coli",">32",64,"R"
81692,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 233","VITEK 2","CLSI","BV BRC","SRR4019414","Escherichia coli",">=32",32,"R"
81756,"ampicillin",">","32","R","mg/L","Escherichia coli strain AR_0089","","CLSI","BV BRC","GCA_003571825.1","Escherichia coli",">32",64,"R"
81792,"ampicillin",">","32","R","mg/L","Escherichia coli strain AR_451","","CLSI","BV BRC","GCA_003288455.1","Escherichia coli",">32",64,"R"
81815,"ampicillin","==","128","R","mg/L","Escherichia coli strain 14063820","","EUCAST","BV BRC","ERR2209723","Escherichia coli","==128",128,"R"
81873,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_50","","CLSI","BV BRC","GCA_004567065.1","Escherichia coli",">=32",32,"R"
81875,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_61","","CLSI","BV BRC","GCA_004566875.1","Escherichia coli",">=32",32,"R"
81908,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_112","","CLSI","BV BRC","GCA_004568615.1","Escherichia coli",">=32",32,"R"
81937,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 404","VITEK 2","CLSI","BV BRC","SRR5810513","Escherichia coli",">=32",32,"R"
81954,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_32","","CLSI","BV BRC","GCA_004567745.1","Escherichia coli",">=32",32,"R"
81965,"ampicillin",">","32","R","mg/L","Escherichia coli strain AR_0370","","CLSI","BV BRC","GCA_003000675.1","Escherichia coli",">32",64,"R"
82062,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_250","","CLSI","BV BRC","SRR4017901","Escherichia coli",">32",64,"R"
82065,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 71","VITEK 2","CLSI","BV BRC","SRR5093683","Escherichia coli",">=32",32,"R"
82066,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_42","","CLSI","BV BRC","GCA_000817355.1","Escherichia coli",">=32",32,"R"
82085,"ampicillin","==","64","R","mg/L","Escherichia coli strain 14047606","","EUCAST","BV BRC","ERR2209644","Escherichia coli","==64",64,"R"
82201,"ampicillin",">=","32","R","mg/L","Escherichia coli strain M8","VITEK 2","CLSI","BV BRC","SRR2449168","Escherichia coli",">=32",32,"R"
82233,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 410","VITEK 2","CLSI","BV BRC","SRR5420067","Escherichia coli",">=32",32,"R"
82316,"ampicillin",">","32","R","mg/L","Escherichia coli strain AR_0085","","CLSI","BV BRC","GCA_003204155.1","Escherichia coli",">32",64,"R"
82372,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_278","","CLSI","BV BRC","SRR3982375","Escherichia coli",">32",64,"R"
82378,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_132","","CLSI","BV BRC","SRR4017838","Escherichia coli",">32",64,"R"
82397,"ampicillin",">=","32","R","mg/L","Escherichia coli strain URMC_68","","CLSI","BV BRC","GCA_004567495.1","Escherichia coli",">=32",32,"R"
82412,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_257","","CLSI","BV BRC","SRR4035121","Escherichia coli",">32",64,"R"
82495,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 399","VITEK 2","CLSI","BV BRC","SRR5810504","Escherichia coli",">=32",32,"R"
82513,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 394","VITEK 2","CLSI","BV BRC","SRR5810505","Escherichia coli",">=32",32,"R"
82556,"ampicillin","<=","8","S","mg/L","Escherichia coli strain MUGSI_206","","CLSI","BV BRC","SRR4065650","Escherichia coli","<=8",8,"S"
82688,"ampicillin",">","32","R","mg/L","Escherichia coli strain MUGSI_47","","CLSI","BV BRC","SRR3996237","Escherichia coli",">32",64,"R"
82726,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 166","VITEK 2","CLSI","BV BRC","SRR3095382","Escherichia coli",">=32",32,"R"
82737,"ampicillin","==","2","S","mg/L","Escherichia coli strain ENV684","","eucast","BV BRC","ERR2580169","Escherichia coli","==2",2,"S"
82824,"ampicillin",">=","32","R","mg/L","Escherichia coli strain 254","VITEK 2","CLSI","BV BRC","SRR4294842","Escherichia coli",">=32",32,"R"
