"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
80546,"cefotaxime","==","4","R","mg/L","Escherichia coli VRES1184","VITEK 2","EUCAST","BV BRC","ERR1878361","Escherichia coli","==4",4,"R"
80556,"cefotaxime",">=","64","R","mg/L","Escherichia coli VRES1354","VITEK 2","EUCAST","BV BRC","ERR1878332","Escherichia coli",">=64",64,"R"
80564,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1376","VITEK 2","EUCAST","BV BRC","ERR2138445","Escherichia coli","<=1",1,"S"
80571,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1254","VITEK 2","EUCAST","BV BRC","GCF_001606545.1","Escherichia coli","<=1",1,"S"
80580,"cefotaxime",">","64","R","mg/L","Escherichia coli strain MUGSI_14","","CLSI","BV BRC","SRR3982153","Escherichia coli",">64",128,"R"
80584,"cefotaxime",">=","64","R","mg/L","Escherichia coli VRES1196","VITEK 2","EUCAST","BV BRC","ERR1878316","Escherichia coli",">=64",64,"R"
80597,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0716","VITEK 2","EUCAST","BV BRC","ERR2137901","Escherichia coli","<=1",1,"S"
80607,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1415","VITEK 2","EUCAST","BV BRC","ERR2138699","Escherichia coli","<=1",1,"S"
80608,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0929","VITEK 2","EUCAST","BV BRC","ERR2138081","Escherichia coli","<=1",1,"S"
80618,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0955","VITEK 2","EUCAST","BV BRC","ERR2138583","Escherichia coli","<=1",1,"S"
80624,"cefotaxime",">","64","R","mg/L","Escherichia coli strain AR_0150","","CLSI","BV BRC","GCA_002192295.1","Escherichia coli",">64",128,"R"
80626,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0838","VITEK 2","EUCAST","BV BRC","ERR2138000","Escherichia coli","<=1",1,"S"
80627,"cefotaxime",">=","64","R","mg/L","Escherichia coli VRES1043","VITEK 2","EUCAST","BV BRC","ERR1878271","Escherichia coli",">=64",64,"R"
80641,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1470","VITEK 2","EUCAST","BV BRC","ERR2138512","Escherichia coli","<=1",1,"S"
80676,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1355","VITEK 2","EUCAST","BV BRC","ERR2138430","Escherichia coli","<=1",1,"S"
80686,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1207","VITEK 2","EUCAST","BV BRC","ERR2138319","Escherichia coli","<=1",1,"S"
80689,"cefotaxime","==","16","R","mg/L","Escherichia coli VRES1592","VITEK 2","EUCAST","BV BRC","ERR1878421","Escherichia coli","==16",16,"R"
80690,"cefotaxime","<=","0.5","S","mg/L","Escherichia coli strain ENV663","","eucast","BV BRC","ERR2580167","Escherichia coli","<=0.5",0.5,"S"
80695,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1444","VITEK 2","EUCAST","BV BRC","ERR2138486","Escherichia coli","<=1",1,"S"
80716,"cefotaxime",">","4","R","mg/L","Escherichia coli strain 14047606","","EUCAST","BV BRC","ERR2209644","Escherichia coli",">4",8,"R"
80741,"cefotaxime",">=","64","R","mg/L","Escherichia coli VREC0935","VITEK 2","EUCAST","BV BRC","ERR2138178","Escherichia coli",">=64",64,"R"
80758,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1468","VITEK 2","EUCAST","BV BRC","ERR2138510","Escherichia coli","<=1",1,"S"
80777,"cefotaxime","==","4","R","mg/L","Escherichia coli VRES1200","VITEK 2","EUCAST","BV BRC","ERR1878319","Escherichia coli","==4",4,"R"
80788,"cefotaxime","<=","1","S","mg/L","Escherichia coli VRES0873","VITEK 2","EUCAST","BV BRC","ERR2138632","Escherichia coli","<=1",1,"S"
80808,"cefotaxime",">=","64","R","mg/L","Escherichia coli VRES1658","VITEK 2","EUCAST","BV BRC","ERR1878449","Escherichia coli",">=64",64,"R"
80833,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1505","VITEK 2","EUCAST","BV BRC","ERR2138694","Escherichia coli","<=1",1,"S"
80853,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1189","VITEK 2","EUCAST","BV BRC","ERR2138307","Escherichia coli","<=1",1,"S"
80877,"cefotaxime","==","16","R","mg/L","Escherichia coli VREC1409","VITEK 2","EUCAST","BV BRC","ERR2138462","Escherichia coli","==16",16,"R"
80898,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0840","VITEK 2","EUCAST","BV BRC","ERR2138022","Escherichia coli","<=1",1,"S"
80901,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1258","VITEK 2","EUCAST","BV BRC","ERR2138351","Escherichia coli","<=1",1,"S"
80911,"cefotaxime",">","64","R","mg/L","Escherichia coli strain AR_0104","","CLSI","BV BRC","GCA_002056635.1","Escherichia coli",">64",128,"R"
80915,"cefotaxime","==","8","R","mg/L","Escherichia coli VRES1380","VITEK 2","EUCAST","BV BRC","ERR1878338","Escherichia coli","==8",8,"R"
80918,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1193","VITEK 2","EUCAST","BV BRC","ERR2138311","Escherichia coli","<=1",1,"S"
80921,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1506","VITEK 2","EUCAST","BV BRC","ERR2138567","Escherichia coli","<=1",1,"S"
80938,"cefotaxime",">","128","R","mg/L","Escherichia coli AR_0015","","CLSI","BV BRC","GCF_001677775.1","Escherichia coli",">128",256,"R"
80940,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0735","VITEK 2","EUCAST","BV BRC","ERR2137918","Escherichia coli","<=1",1,"S"
80991,"cefotaxime",">","64","R","mg/L","Escherichia coli strain MUGSI_250","","CLSI","BV BRC","SRR4017901","Escherichia coli",">64",128,"R"
81001,"cefotaxime","<=","1","S","mg/L","Escherichia coli VRES0869","VITEK 2","EUCAST","BV BRC","ERR2138636","Escherichia coli","<=1",1,"S"
81004,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC1499","VITEK 2","EUCAST","BV BRC","ERR2138526","Escherichia coli","<=1",1,"S"
81009,"cefotaxime",">=","64","R","mg/L","Escherichia coli VREC1074","VITEK 2","EUCAST","BV BRC","ERR2138201","Escherichia coli",">=64",64,"R"
81040,"cefotaxime",">","32","R","mg/L","Escherichia coli strain OSUCMP42NDM","Sensititre","CLSI","BV BRC","GCA_020985225.1","Escherichia coli",">32",64,"R"
81058,"cefotaxime","<=","1","S","mg/L","Escherichia coli VREC0685","VITEK 2","EUCAST","BV BRC","ERR2137883","Escherichia coli","<=1",1,"S"
