"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
80558,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_48","","CLSI","BV BRC","GCA_004567075.1","Escherichia coli","<=1",1,"S"
80559,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 141","VITEK 2","CLSI","BV BRC","SRR3057121","Escherichia coli","<=1",1,"S"
80582,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0788","VITEK 2","EUCAST","BV BRC","ERR2137969","Escherichia coli","<=1",1,"S"
80611,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0944","VITEK 2","EUCAST","BV BRC","ERR2138090","Escherichia coli","<=1",1,"S"
80629,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1491","VITEK 2","EUCAST","BV BRC","ERR2138706","Escherichia coli","<=1",1,"S"
80638,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0892","VITEK 2","EUCAST","BV BRC","ERR2138052","Escherichia coli","<=1",1,"S"
80652,"gentamicin",">","16","R","mg/L","Escherichia coli strain AR_0086","","CLSI","BV BRC","GCA_003571665.1","Escherichia coli",">16",32,"R"
80660,"gentamicin",">=","16","R","mg/L","Escherichia coli strain URMC_12","","CLSI","BV BRC","GCA_004569995.1","Escherichia coli",">=16",16,"R"
80673,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1396","VITEK 2","EUCAST","BV BRC","ERR2138456","Escherichia coli","<=1",1,"S"
80679,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1160","VITEK 2","EUCAST","BV BRC","ERR1878359","Escherichia coli",">=16",16,"R"
80682,"gentamicin","==","32","R","mg/L","Escherichia coli strain 15054212","","EUCAST","BV BRC","ERR2209737","Escherichia coli","==32",32,"R"
80684,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1613","VITEK 2","EUCAST","BV BRC","ERR1878429","Escherichia coli",">=16",16,"R"
80700,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1029","VITEK 2","EUCAST","BV BRC","ERR2138161","Escherichia coli","<=1",1,"S"
80701,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES0914","VITEK 2","EUCAST","BV BRC","ERR1878240","Escherichia coli",">=16",16,"R"
80707,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1632","VITEK 2","EUCAST","BV BRC","ERR2138662","Escherichia coli","<=1",1,"S"
80721,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1281","VITEK 2","EUCAST","BV BRC","ERR2138372","Escherichia coli","<=1",1,"S"
80738,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1104","VITEK 2","EUCAST","BV BRC","ERR1878286","Escherichia coli","<=1",1,"S"
80792,"gentamicin",">","32","R","mg/L","Escherichia coli strain 14060900","","EUCAST","BV BRC","ERR2209642","Escherichia coli",">32",64,"R"
80812,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_20","","CLSI","BV BRC","GCA_004568225.1","Escherichia coli","<=1",1,"S"
80814,"gentamicin",">=","16","R","mg/L","Escherichia coli strain M23","VITEK 2","CLSI","BV BRC","SRR3057126","Escherichia coli",">=16",16,"R"
80816,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0780","VITEK 2","EUCAST","BV BRC","ERR1878207","Escherichia coli","<=1",1,"S"
80831,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0830","VITEK 2","EUCAST","BV BRC","ERR2137994","Escherichia coli","<=1",1,"S"
80851,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1639","VITEK 2","EUCAST","BV BRC","ERR2138733","Escherichia coli","<=1",1,"S"
80857,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0987","VITEK 2","EUCAST","BV BRC","ERR2138125","Escherichia coli","<=1",1,"S"
80858,"gentamicin","==","1","S","mg/L","Escherichia coli strain AR_0450","","CLSI","BV BRC","GCA_003324445.1","Escherichia coli","==1",1,"S"
80861,"gentamicin",">","16","R","mg/L","Escherichia coli strain AR_0128","","CLSI","BV BRC","GCA_002180275.1","Escherichia coli",">16",32,"R"
80865,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC0674","VITEK 2","EUCAST","BV BRC","ERR2137878","Escherichia coli",">=16",16,"R"
80881,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0718","VITEK 2","EUCAST","BV BRC","ERR2137903","Escherichia coli","<=1",1,"S"
