"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"6618","Escherichia","coli","AMP",">","32","R","SAMN13279829"
"6620","Escherichia","coli","AMP",">","32","R","SAMN13279831"
"6621","Escherichia","coli","AMP",">","32","R","SAMN13279903"
"6622","Escherichia","coli","AMP","=","4","S","SAMN13279825"
"6623","Escherichia","coli","AMP","=","8","S","PNUSAE002691"
"6624","Escherichia","coli","AMP","=","4","S","PNUSAE002788"
"6625","Escherichia","coli","AMP",">","32","R","PNUSAE002891"
"6626","Escherichia","coli","AMP","=","2","S","SAMN13279869"
"6628","Escherichia","coli","AMP","=","2","S","SAMN13279924"
"6629","Escherichia","coli","AMP","=","2","S","SAMN13279962"
"6630","Escherichia","coli","AMP","=","2","S","SAMN13279864"
"6631","Escherichia","coli","AMP","=","2","S","SAMN13279960"
"6632","Escherichia","coli","AMP",">","32","R","SAMN13279928"
"6633","Escherichia","coli","AMP","=","2","S","SAMN13283333"
"6634","Escherichia","coli","AMP","=","2","S","SAMN13283332"
"6635","Escherichia","coli","AMP","=","2","S","SAMN13242745"
"6636","Escherichia","coli","AMP",">","32","R","PNUSAE003358"
"6637","Escherichia","coli","AMP","=","2","S","SAMN13242711"
"6638","Escherichia","coli","AMP",">","32","R","SAMN13279832"
"6639","Escherichia","coli","AMP","=","4","S","SAMN13242768"
"6640","Escherichia","coli","AMP","=","4","S","SAMN13279884"
"6641","Escherichia","coli","AMP","=","2","S","SAMN13242763"
"6642","Escherichia","coli","AMP","=","2","S","SAMN13242726"
"6643","Escherichia","coli","AMP","=","2","S","SAMN13242722"
"6644","Escherichia","coli","AMP",">","32","R","PNUSAE002904"
"6645","Escherichia","coli","AMP","<=","1","S","SAMN13242707"
"6646","Escherichia","coli","AMP","=","4","S","SAMN13242729"
"6648","Escherichia","coli","AMP","=","2","S","SAMN13242723"
"6649","Escherichia","coli","AMP","=","2","S","SAMN13242767"
"6650","Escherichia","coli","AMP","=","2","S","SAMN13242748"
"6651","Escherichia","coli","AMP","=","4","S","SAMN13283331"
"6652","Escherichia","coli","AMP",">","32","R","SAMN13242765"
"6653","Escherichia","coli","AMP",">","32","R","SAMN13279822"
"6654","Escherichia","coli","AMP","=","2","S","SAMN13279887"
"6655","Escherichia","coli","AMP","=","2","S","SAMN13279886"
"6656","Escherichia","coli","AMP","=","2","S","SAMN13279881"
"6657","Escherichia","coli","AMP","=","2","S","SAMN13280850"
"6658","Escherichia","coli","AMP","=","2","S","SAMN13280854"
"6659","Escherichia","coli","AMP","=","2","S","SAMN13242766"
"6660","Escherichia","coli","AMP","=","2","S","SAMN13242725"
"6662","Escherichia","coli","AMP","=","2","S","SAMN13242727"
"6663","Escherichia","coli","AMP","=","4","S","SAMN13242721"
"6664","Escherichia","coli","AMP","=","2","S","PNUSAE004899"
"6665","Escherichia","coli","AMP","=","2","S","SAMN13242728"
"6666","Escherichia","coli","AMP","=","2","S","SAMN13242741"
"6667","Escherichia","coli","AMP","=","2","S","SAMN13242738"
"6669","Escherichia","coli","AMP","=","2","S","SAMN13279866"
"6670","Escherichia","coli","AMP","=","2","S","SAMN13279865"
"6671","Escherichia","coli","AMP","=","4","S","PNUSAE006822"
"6672","Escherichia","coli","AMP","=","2","S","SAMN13280855"
"6673","Escherichia","coli","AMP","=","4","S","SAMN13280856"
