Antibiotic,Accuracy_Final,Precision_Final,Recall_Final,F1_Score_Final,Accuracy_Escherichia,Precision_Escherichia,Recall_Escherichia,F1_Score_Escherichia,Accuracy_Enterococcus,Precision_Enterococcus,Recall_Enterococcus,F1_Score_Enterococcus,Accuracy_Staphylococcus,Precision_Staphylococcus,Recall_Staphylococcus,F1_Score_Staphylococcus,Accuracy_Klebsiella,Precision_Klebsiella,Recall_Klebsiella,F1_Score_Klebsiella,Accuracy_Acinetobacter,Precision_Acinetobacter,Recall_Acinetobacter,F1_Score_Acinetobacter,Accuracy_Pseudomonas,Precision_Pseudomonas,Recall_Pseudomonas,F1_Score_Pseudomonas,Accuracy_Enterobacter,Precision_Enterobacter,Recall_Enterobacter,F1_Score_Enterobacter
cefazolin,0.9371534195933456,0.94,0.93,0.93,0.9371534195933456,0.94,0.93,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chloramphenicol,0.9955423476968797,0.99,0.99,0.99,0.9968102073365231,0.99,0.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.9782608695652174,0.97,0.98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oxacillin,0.987012987012987,0.98,0.98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0.987012987012987,0.98,0.98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nitrofurantoin,0.9335664335664335,0.94,0.93,0.93,0.96,0.48,0.5,0.49,NA,NA,NA,NA,NA,NA,NA,NA,0.9269662921348315,0.96,0.59,0.64,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.8,0.8,0.75
meropenem,0.9727732399844419,0.96,0.95,0.95,0.9981481481481481,1.0,0.91,0.95,NA,NA,NA,NA,NA,NA,NA,NA,0.927797833935018,0.93,0.92,0.93,0.9538461538461539,0.95,0.95,0.95,0.8986486486486487,0.9,0.89,0.9,0.9444444444444444,0.94,0.93,0.93
ampicillin-sulbactam,0.9478873239436619,0.94,0.94,0.94,0.9038461538461539,0.86,0.91,0.88,NA,NA,NA,NA,NA,NA,NA,NA,0.9661538461538461,0.74,0.63,0.67,0.9369369369369369,0.94,0.94,0.94,NA,NA,NA,NA,NA,NA,NA,NA
levofloxacin,0.9706621961441744,0.95,0.96,0.96,0.9821428571428571,0.96,0.96,0.96,NA,NA,NA,NA,0.9891304347826086,0.98,0.99,0.99,0.9705159705159705,0.92,0.92,0.92,0.968421052631579,0.95,0.96,0.95,0.9647887323943662,0.95,0.97,0.96,0.9069767441860465,0.93,0.9,0.9
amoxicillin-clavulanicAcid,0.9823170731707317,0.98,0.96,0.97,0.9849029475197699,0.98,0.93,0.95,NA,NA,NA,NA,NA,NA,NA,NA,0.9678714859437751,0.96,0.97,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colistin,0.867579908675799,0.81,0.78,0.79,0.9605263157894737,0.98,0.81,0.87,NA,NA,NA,NA,NA,NA,NA,NA,0.7105263157894737,0.7,0.7,0.7,0.9402985074626866,0.97,0.78,0.84,NA,NA,NA,NA,NA,NA,NA,NA
tigecycline,0.967032967032967,0.98,0.62,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967032967032967,0.98,0.62,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cefoxitin,0.9311424100156495,0.93,0.91,0.92,0.9664516129032258,0.96,0.89,0.92,NA,NA,NA,NA,0.8846153846153846,0.81,0.85,0.83,0.8763102725366876,0.87,0.88,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
linezolid,0.9760479041916168,0.99,0.6,0.66,NA,NA,NA,NA,NA,NA,NA,NA,0.9760479041916168,0.99,0.6,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tobramycin,0.9603011635865846,0.96,0.96,0.96,0.9873417721518988,0.98,0.95,0.96,NA,NA,NA,NA,NA,NA,NA,NA,0.9381898454746137,0.93,0.93,0.93,0.9409937888198758,0.94,0.94,0.94,0.9883720930232558,0.97,0.99,0.98,0.9361702127659575,0.94,0.92,0.93
ciprofloxacin,0.9838854073410922,0.98,0.98,0.98,0.9865900383141762,0.99,0.98,0.98,NA,NA,NA,NA,0.9849624060150376,0.99,0.88,0.92,0.974609375,0.92,0.93,0.93,0.9923273657289002,0.98,0.99,0.99,0.9722222222222222,0.91,0.98,0.94,0.9782608695652174,0.98,0.98,0.98
clindamycin,0.9671052631578947,0.97,0.94,0.95,NA,NA,NA,NA,NA,NA,NA,NA,0.9671052631578947,0.97,0.94,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amikacin,0.9577464788732394,0.95,0.94,0.94,0.9864559819413092,0.91,0.75,0.81,NA,NA,NA,NA,NA,NA,NA,NA,0.9244604316546763,0.92,0.91,0.92,0.9590163934426229,0.96,0.96,0.96,0.9290780141843972,0.9,0.88,0.89,0.96,0.98,0.67,0.74
penicillin,0.9693877551020408,0.92,0.95,0.93,NA,NA,NA,NA,NA,NA,NA,NA,0.9693877551020408,0.92,0.95,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ceftriaxone,0.98691226369365,0.99,0.99,0.99,0.9898562975486053,0.98,0.99,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0.9804964539007093,0.96,0.96,0.96,0.9873417721518988,0.97,0.94,0.95,NA,NA,NA,NA,NA,NA,NA,NA
vancomycin,1.0,1.0,1.0,1.0,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trimethoprim,0.9789473684210527,0.98,0.98,0.98,0.9875,0.99,0.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.9333333333333333,0.96,0.88,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
minocycline,0.8666666666666667,0.83,0.77,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7037037037037037,0.66,0.64,0.64,0.9583333333333334,0.98,0.88,0.92,NA,NA,NA,NA,NA,NA,NA,NA
ampicillin,0.9752999294283698,0.98,0.97,0.97,0.9752999294283698,0.98,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doripenem,0.967948717948718,0.97,0.97,0.97,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.96,0.94,0.95,1.0,1.0,1.0,1.0,0.9032258064516129,0.9,0.88,0.89,0.9090909090909091,0.93,0.9,0.91
sulfisoxazole,0.9875862068965517,0.99,0.98,0.98,0.9875862068965517,0.99,0.98,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ertapenem,0.9760717846460618,0.97,0.96,0.97,0.992412746585736,1.0,0.88,0.93,NA,NA,NA,NA,NA,NA,NA,NA,0.9625850340136054,0.96,0.97,0.96,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.83,0.81,0.82
