"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
80613,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M54","VITEK 2","CLSI","BV BRC","SRR3932418","Escherichia coli",">=64",64,"R"
80773,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV233","","eucast","BV BRC","ERR2580159","Escherichia coli","<=1",1,"S"
80902,"aztreonam","==","16","R","mg/L","Escherichia coli strain AR_0081","","CLSI","BV BRC","GCA_002996945.1","Escherichia coli","==16",16,"R"
80920,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_90","","CLSI","BV BRC","SRR4017896","Escherichia coli",">64",128,"R"
80948,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_138","","CLSI","BV BRC","SRR4017857","Escherichia coli",">64",128,"R"
80950,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_106","","CLSI","BV BRC","GCA_004570035.1","Escherichia coli","==16",16,"R"
81196,"aztreonam","==","64","R","mg/L","Escherichia coli strain AR_0085","","CLSI","BV BRC","GCA_003204155.1","Escherichia coli","==64",64,"R"
81200,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_257","","CLSI","BV BRC","SRR4035121","Escherichia coli",">64",128,"R"
81301,"aztreonam","==","2","S","mg/L","Escherichia coli strain URMC_68","","CLSI","BV BRC","GCA_004567495.1","Escherichia coli","==2",2,"S"
81364,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_34","","CLSI","BV BRC","GCA_004567175.1","Escherichia coli",">=64",64,"R"
81384,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_243","","CLSI","BV BRC","SRR4017904","Escherichia coli","<2",1,"S"
81411,"aztreonam","<=","2","S","mg/L","Escherichia coli strain AR_452","","CLSI","BV BRC","GCA_003288415.1","Escherichia coli","<=2",2,"S"
81415,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M18","VITEK 2","CLSI","BV BRC","SRR2544776","Escherichia coli",">=64",64,"R"
81459,"aztreonam","==","32","R","mg/L","Escherichia coli strain M4","VITEK 2","CLSI","BV BRC","SRR2449140","Escherichia coli","==32",32,"R"
81531,"aztreonam",">","64","R","mg/L","Escherichia coli AR_0015","","CLSI","BV BRC","GCF_001677775.1","Escherichia coli",">64",128,"R"
81540,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M42","VITEK 2","CLSI","BV BRC","SRR3618634","Escherichia coli",">=64",64,"R"
81599,"aztreonam","==","32","R","mg/L","Escherichia coli strain URMC_58","","CLSI","BV BRC","GCA_004567585.1","Escherichia coli","==32",32,"R"
81624,"aztreonam","==","16","R","mg/L","Escherichia coli strain M52","VITEK 2","CLSI","BV BRC","SRR3932428","Escherichia coli","==16",16,"R"
81695,"aztreonam","==","16","R","mg/L","Escherichia coli strain M20","VITEK 2","CLSI","BV BRC","SRR2544778","Escherichia coli","==16",16,"R"
81702,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_19","","CLSI","BV BRC","GCA_004567895.1","Escherichia coli","==16",16,"R"
81706,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV326","","eucast","BV BRC","ERR2580164","Escherichia coli","<=1",1,"S"
81754,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_7","","CLSI","BV BRC","GCA_004566765.1","Escherichia coli",">=64",64,"R"
81794,"aztreonam",">","32","R","mg/L","Escherichia coli strain MUGSI_287","","CLSI","BV BRC","SRR3996243","Escherichia coli",">32",64,"R"
81798,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_50","","CLSI","BV BRC","GCA_004567065.1","Escherichia coli","==16",16,"R"
81801,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_74","","CLSI","BV BRC","GCA_004566675.1","Escherichia coli",">=64",64,"R"
81813,"aztreonam","==","16","R","mg/L","Escherichia coli strain M11","VITEK 2","CLSI","BV BRC","SRR2544769","Escherichia coli","==16",16,"R"
81884,"aztreonam","<","2","S","mg/L","Escherichia coli strain 24","","CLSI","BV BRC","SRR3222296","Escherichia coli","<2",1,"S"
81892,"aztreonam","<=","2","S","mg/L","Escherichia coli strain AR_0149","","CLSI","BV BRC","GCA_002180055.1","Escherichia coli","<=2",2,"S"
81967,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_20","","CLSI","BV BRC","GCA_004568225.1","Escherichia coli","==16",16,"R"
82011,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_85","","CLSI","BV BRC","GCA_004566535.1","Escherichia coli","==16",16,"R"
82075,"aztreonam","==","2","S","mg/L","Escherichia coli strain M55","VITEK 2","CLSI","BV BRC","SRR3932419","Escherichia coli","==2",2,"S"
82077,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_81","","CLSI","BV BRC","GCA_004566555.1","Escherichia coli",">=64",64,"R"
82096,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV323","","eucast","BV BRC","ERR2580163","Escherichia coli","<=1",1,"S"
82263,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_35","","CLSI","BV BRC","GCA_004567165.1","Escherichia coli","==16",16,"R"
82423,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M43","VITEK 2","CLSI","BV BRC","SRR3618619","Escherichia coli",">=64",64,"R"
82430,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_134","","CLSI","BV BRC","SRR4017853","Escherichia coli",">64",128,"R"
82506,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_242","","CLSI","BV BRC","SRR4017903","Escherichia coli","<2",1,"S"
82519,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_71","","CLSI","BV BRC","GCA_004566715.1","Escherichia coli",">=64",64,"R"
82568,"aztreonam","==","16","R","mg/L","Escherichia coli strain M47","VITEK 2","CLSI","BV BRC","SRR3618622","Escherichia coli","==16",16,"R"
82588,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M46","VITEK 2","CLSI","BV BRC","SRR3618621","Escherichia coli",">=64",64,"R"
82669,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_51","","CLSI","BV BRC","GCA_004567045.1","Escherichia coli","==16",16,"R"
82686,"aztreonam","<=","1","S","mg/L","Escherichia coli strain URMC_39","","CLSI","BV BRC","GCA_004567695.1","Escherichia coli","<=1",1,"S"
82733,"aztreonam","==","16","R","mg/L","Escherichia coli strain M7","VITEK 2","CLSI","BV BRC","SRR2449143","Escherichia coli","==16",16,"R"
82817,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_3","","CLSI","BV BRC","GCA_004567255.1","Escherichia coli","==16",16,"R"
82844,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0150","","CLSI","BV BRC","GCA_002192295.1","Escherichia coli","==32",32,"R"
82905,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_65","","CLSI","BV BRC","GCA_004566795.1","Escherichia coli","==16",16,"R"
82972,"aztreonam",">=","64","R","mg/L","Escherichia coli strain URMC_97","","CLSI","BV BRC","GCA_004567315.1","Escherichia coli",">=64",64,"R"
83054,"aztreonam","==","32","R","mg/L","Escherichia coli strain AR_0374","","CLSI","BV BRC","GCA_002999075.1","Escherichia coli","==32",32,"R"
83092,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0048","","CLSI","BV BRC","GCF_001874845.1","Escherichia coli",">64",128,"R"
83105,"aztreonam",">","16","R","mg/L","Escherichia coli strain 5CRE51","BD Phoenix NMIC-203","CLSI","BV BRC","GCA_002142695.1","Escherichia coli",">16",32,"R"
83121,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_56","","CLSI","BV BRC","GCA_004566965.1","Escherichia coli","==16",16,"R"
83183,"aztreonam","<","2","S","mg/L","Escherichia coli strain MUGSI_205","","CLSI","BV BRC","SRR4065649","Escherichia coli","<2",1,"S"
83188,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_36","","CLSI","BV BRC","GCA_004567715.1","Escherichia coli","==4",4,"S"
83197,"aztreonam",">","64","R","mg/L","Escherichia coli strain MUGSI_106","","CLSI","BV BRC","SRR4017899","Escherichia coli",">64",128,"R"
83247,"aztreonam","==","16","R","mg/L","Escherichia coli strain ENV210","","eucast","BV BRC","ERR2580155","Escherichia coli","==16",16,"R"
83363,"aztreonam","<=","2","S","mg/L","Escherichia coli strain AR_0368","","CLSI","BV BRC","GCA_003000595.1","Escherichia coli","<=2",2,"S"
83560,"aztreonam",">=","64","R","mg/L","Escherichia coli strain M27","VITEK 2","CLSI","BV BRC","SRR2927308","Escherichia coli",">=64",64,"R"
83644,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_107","","CLSI","BV BRC","GCA_004569875.1","Escherichia coli","==16",16,"R"
83652,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_32","","CLSI","BV BRC","GCA_004567745.1","Escherichia coli","==16",16,"R"
83765,"aztreonam","==","64","R","mg/L","Escherichia coli strain AR_0369","","CLSI","BV BRC","GCA_002968715.1","Escherichia coli","==64",64,"R"
83780,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR435","","CLSI","BV BRC","GCA_003073835.1","Escherichia coli",">64",128,"R"
83879,"aztreonam","<=","1","S","mg/L","Escherichia coli strain ENV228","","eucast","BV BRC","ERR2580158","Escherichia coli","<=1",1,"S"
83953,"aztreonam","==","16","R","mg/L","Escherichia coli strain URMC_83","","CLSI","BV BRC","GCA_004566565.1","Escherichia coli","==16",16,"R"
83996,"aztreonam","==","4","S","mg/L","Escherichia coli strain URMC_42","","CLSI","BV BRC","GCA_000817355.1","Escherichia coli","==4",4,"S"
84034,"aztreonam",">","64","R","mg/L","Escherichia coli strain AR_0114","","CLSI","BV BRC","GCA_002192275.1","Escherichia coli",">64",128,"R"
